Record Length,2.50E+03,,t,V
Sample Interval,1.00E-06,,-0.00125,0.08
Trigger Point,1.25E+03,,-0.001249,0.08
,,,-0.001248,0.08
,,,-0.001247,0.1
,,,-0.001246,0.1
Source,CH1,,-0.001245,0.1
Vertical Units,V,,-0.001244,0.1
Vertical Scale,5.00E-01,,-0.001243,0.14
Vertical Offset,0.00E+00,,-0.001242,0.1
Horizontal Units,s,,-0.001241,0.12
Horizontal Scale,2.50E-04,,-0.00124,0.14
Pt Fmt,Y,,-0.001239,0.14
Yzero,0.00E+00,,-0.001238,0.16
Probe Atten,1.00E+00,,-0.001237,0.16
Model Number,TDS2014B,,-0.001236,0.16
Serial Number,C041770,,-0.001235,0.16
Firmware Version,FV:v22.01,,-0.001234,0.18
,,,-0.001233,0.18
,,,-0.001232,0.2
,,,-0.001231,0.18
,,,-0.00123,0.2
,,,-0.001229,0.2
,,,-0.001228,0.2
,,,-0.001227,0.2
,,,-0.001226,0.22
,,,-0.001225,0.22
,,,-0.001224,0.2
,,,-0.001223,0.2
,,,-0.001222,0.22
,,,-0.001221,0.2
,,,-0.00122,0.22
,,,-0.001219,0.22
,,,-0.001218,0.22
,,,-0.001217,0.22
,,,-0.001216,0.22
,,,-0.001215,0.22
,,,-0.001214,0.2
,,,-0.001213,0.22
,,,-0.001212,0.22
,,,-0.001211,0.18
,,,-0.00121,0.2
,,,-0.001209,0.2
,,,-0.001208,0.2
,,,-0.001207,0.18
,,,-0.001206,0.18
,,,-0.001205,0.16
,,,-0.001204,0.16
,,,-0.001203,0.12
,,,-0.001202,0.12
,,,-0.001201,0.12
,,,-0.0012,0.1
,,,-0.001199,0.08
,,,-0.001198,0.06
,,,-0.001197,0.04
,,,-0.001196,0.04
,,,-0.001195,0.02
,,,-0.001194,0
,,,-0.001193,0
,,,-0.001192,-0.04
,,,-0.001191,-0.06
,,,-0.00119,-0.08
,,,-0.001189,-0.06
,,,-0.001188,-0.06
,,,-0.001187,-0.06
,,,-0.001186,-0.08
,,,-0.001185,-0.08
,,,-0.001184,-0.06
,,,-0.001183,-0.06
,,,-0.001182,-0.06
,,,-0.001181,-0.06
,,,-0.00118,-0.06
,,,-0.001179,-0.08
,,,-0.001178,-0.06
,,,-0.001177,-0.06
,,,-0.001176,-0.06
,,,-0.001175,-0.06
,,,-0.001174,-0.06
,,,-0.001173,-0.04
,,,-0.001172,-0.04
,,,-0.001171,-0.02
,,,-0.00117,0
,,,-0.001169,0
,,,-0.001168,-0.02
,,,-0.001167,0
,,,-0.001166,-0.02
,,,-0.001165,-0.02
,,,-0.001164,-0.02
,,,-0.001163,-0.02
,,,-0.001162,-0.04
,,,-0.001161,-0.06
,,,-0.00116,-0.06
,,,-0.001159,-0.06
,,,-0.001158,-0.06
,,,-0.001157,-0.08
,,,-0.001156,-0.08
,,,-0.001155,-0.06
,,,-0.001154,-0.06
,,,-0.001153,-0.08
,,,-0.001152,-0.06
,,,-0.001151,-0.08
,,,-0.00115,-0.08
,,,-0.001149,-0.08
,,,-0.001148,-0.08
,,,-0.001147,-0.08
,,,-0.001146,-0.06
,,,-0.001145,-0.06
,,,-0.001144,-0.06
,,,-0.001143,-0.06
,,,-0.001142,-0.08
,,,-0.001141,-0.06
,,,-0.00114,-0.06
,,,-0.001139,-0.06
,,,-0.001138,-0.06
,,,-0.001137,-0.06
,,,-0.001136,-0.06
,,,-0.001135,-0.06
,,,-0.001134,-0.08
,,,-0.001133,-0.06
,,,-0.001132,-0.08
,,,-0.001131,-0.06
,,,-0.00113,-0.08
,,,-0.001129,-0.06
,,,-0.001128,-0.08
,,,-0.001127,-0.08
,,,-0.001126,-0.08
,,,-0.001125,-0.06
,,,-0.001124,-0.06
,,,-0.001123,-0.06
,,,-0.001122,-0.06
,,,-0.001121,-0.04
,,,-0.00112,-0.06
,,,-0.001119,-0.06
,,,-0.001118,-0.06
